year,state,measles_cases,mumps_cases,pertussis_cases
2013,MN,,1.0,594.0
2013,MO,,10.0,582.0
2013,MS,,,57.0
2013,MT,,,636.0
2013,NC,,4.0,582.0
2013,ND,,2.0,73.0
2013,NE,,,223.0
2013,NH,,,104.0
2013,NJ,,76.0,300.0
2013,NM,,1.0,527.0
2013,NV,,5.0,165.0
2013,OH,,12.0,1464.0
2013,OK,,1.0,143.0
2013,OR,,3.0,468.0
2013,PA,,18.0,582.0
2013,RI,,3.0,140.0
2013,SC,,2.0,211.0
2013,SD,,,50.0
2013,TN,,7.0,234.0
2013,TX,,12.0,3436.0
2013,UT,,2.0,1016.0
2013,VA,,109.0,250.0
2013,VT,,1.0,112.0
2013,WA,,2.0,662.0
2013,WI,,1.0,1077.0
2013,WV,,,17.0
2013,WY,,,70.0
2014,AK,,1.0,158.0
2014,AL,,2.0,277.0
2014,AR,,1.0,258.0
2014,AZ,,9.0,438.0
2014,CA,,29.0,6870.0
2014,CO,,2.0,1054.0
2014,CT,,,65.0
2014,DC,,16.0,22.0
2014,DE,,,205.0
2014,FL,,2.0,712.0
2014,GA,,4.0,326.0
2014,HI,,1.0,36.0
2014,IA,,6.0,183.0
2014,ID,,11.0,360.0
2014,IL,,128.0,624.0
2014,IN,,23.0,420.0
2014,KS,,2.0,329.0
2014,KY,,2.0,268.0
2014,LA,,,73.0
2014,MA,,5.0,219.0
2014,MD,,2.0,168.0
2014,ME,,,507.0
2014,MI,,16.0,1231.0
2014,MN,,20.0,507.0
2014,MO,,6.0,504.0
2014,MS,,,68.0
2014,MT,,,475.0
2014,NC,,3.0,702.0
2014,ND,,1.0,45.0
2014,NE,,,353.0
2014,NH,,2.0,74.0
2014,NJ,,32.0,280.0
