year,state,cancer_death_count
2009,KS,14997.0
2010,KS,14935.0
2011,KS,15409.0
2012,KS,15383.0
2013,KS,15212.0
2014,KS,15303.0
2015,KS,15994.0
2016,KS,15889.0
2017,KS,16377.0
1999,KY,21411.0
2000,KY,21866.0
2001,KY,22464.0
2002,KY,22465.0
2003,KY,22553.0
2004,KY,23079.0
2005,KY,23351.0
2006,KY,24583.0
2007,KY,25218.0
2008,KY,25410.0
2009,KY,25647.0
2010,KY,26240.0
2011,KY,26523.0
2012,KY,27156.0
2013,KY,27370.0
2014,KY,28063.0
2015,KY,28557.0
2016,KY,28618.0
2017,KY,29150.0
1999,LA,20939.0
2000,LA,21216.0
2001,LA,21989.0
2002,LA,22115.0
2003,LA,22188.0
2004,LA,22734.0
2005,LA,21675.0
2006,LA,22266.0
2007,LA,23139.0
2008,LA,23687.0
2009,LA,24510.0
2010,LA,24514.0
2011,LA,25111.0
2012,LA,25207.0
2013,LA,25232.0
2014,LA,25876.0
2015,LA,26385.0
2016,LA,26689.0
2017,LA,27280.0
1999,ME,7418.0
2000,ME,7808.0
2001,ME,8136.0
2002,ME,8201.0
2003,ME,8240.0
2004,ME,8623.0
2005,ME,8651.0
2006,ME,8992.0
2007,ME,8918.0
2008,ME,8868.0
2009,ME,8775.0
2010,ME,8823.0
2011,ME,8785.0
2012,ME,8972.0
2013,ME,8870.0
2014,ME,9174.0
2015,ME,9234.0
2016,ME,9461.0
2017,ME,9643.0
1999,MD,25751.0
2000,MD,26075.0
2001,MD,25524.0
2002,MD,27357.0
2003,MD,28181.0
2004,MD,26516.0
2005,MD,26924.0
2006,MD,27146.0
2007,MD,29095.0
2008,MD,29759.0
2009,MD,29822.0
2010,MD,30153.0
2011,MD,30341.0
2012,MD,30392.0
2013,MD,31905.0
2014,MD,31885.0
2015,MD,32768.0
2016,MD,33064.0
2017,MD,34238.0
1999,MA,34660.0
2000,MA,35347.0
2001,MA,36134.0
2002,MA,36938.0
2003,MA,36086.0
2004,MA,36403.0
2005,MA,36979.0
2006,MA,38074.0
2007,MA,38321.0
2008,MA,38978.0
2009,MA,38911.0
2010,MA,37557.0
2011,MA,38674.0
2012,MA,38382.0
2013,MA,38307.0
2014,MA,38919.0
2015,MA,39845.0
2016,MA,41015.0
2017,MA,41145.0
1999,MI,52172.0
2000,MI,53102.0
2001,MI,54147.0
2002,MI,55023.0
2003,MI,55207.0
2004,MI,54373.0
2005,MI,55049.0
2006,MI,56135.0
2007,MI,58482.0
2008,MI,58096.0
2009,MI,57828.0
2010,MI,57899.0
2011,MI,59001.0
2012,MI,57179.0
2013,MI,56729.0
2014,MI,56933.0
2015,MI,59063.0
2016,MI,60650.0
2017,MI,60089.0
1999,MN,22571.0
2000,MN,23508.0
2001,MN,24392.0
2002,MN,24543.0
2003,MN,24520.0
2004,MN,25324.0
2005,MN,25499.0
2006,MN,26341.0
2007,MN,27850.0
2008,MN,28050.0
2009,MN,27973.0
2010,MN,28220.0
2011,MN,29064.0
2012,MN,29149.0
2013,MN,29213.0
2014,MN,29865.0
2015,MN,31725.0
2016,MN,31517.0
2017,MN,33427.0
2003,MS,13593.0
2004,MS,13903.0
2005,MS,14049.0
2006,MS,14647.0
2007,MS,15601.0
2008,MS,15866.0
2009,MS,15651.0
2010,MS,16121.0
2011,MS,16057.0
2012,MS,16138.0
2013,MS,16462.0
2014,MS,16808.0
2015,MS,16981.0
2016,MS,17407.0
2017,MS,17665.0
1999,MO,28364.0
2000,MO,28277.0
2001,MO,29115.0
2002,MO,29462.0
2003,MO,29717.0
2004,MO,29860.0
2005,MO,31581.0
2006,MO,31909.0
2007,MO,32340.0
2008,MO,32353.0
2009,MO,33472.0
2010,MO,32754.0
2011,MO,33872.0
2012,MO,34084.0
2013,MO,33725.0
2014,MO,34689.0
2015,MO,35188.0
2016,MO,35321.0
2017,MO,37113.0
1999,MT,4742.0
2000,MT,4953.0
2001,MT,5185.0
2002,MT,5182.0
2003,MT,5168.0
2004,MT,5132.0
2005,MT,5426.0
2006,MT,5451.0
2007,MT,5591.0
2008,MT,5599.0
2009,MT,5874.0
2010,MT,5876.0
2011,MT,6014.0
2012,MT,5824.0
2013,MT,5980.0
2014,MT,6021.0
2015,MT,6465.0
2016,MT,6626.0
2017,MT,6838.0
1999,NE,8767.0
2000,NE,8875.0
2001,NE,8951.0
2002,NE,9097.0
2003,NE,8915.0
2004,NE,9107.0
2005,NE,9320.0
2006,NE,9476.0
2007,NE,9794.0
2008,NE,9774.0
2009,NE,9399.0
2010,NE,9683.0
2011,NE,9710.0
2012,NE,9614.0
2013,NE,9866.0
2014,NE,9948.0
2015,NE,10354.0
2016,NE,10653.0
2017,NE,10919.0
1999,NV,7772.0
2000,NV,9922.0
2001,NV,10203.0
2002,NV,10631.0
2003,NV,10602.0
2004,NV,11094.0
2005,NV,10996.0
2006,NV,11690.0
2007,NV,11695.0
2008,NV,12534.0
2009,NV,12807.0
2010,NV,12439.0
2011,NV,12757.0
2012,NV,12613.0
2013,NV,12942.0
2014,NV,13005.0
2015,NV,12944.0
2016,NV,14064.0
2017,NV,15091.0
1999,NH,6105.0
2000,NH,6469.0
2001,NH,6832.0
2002,NH,7172.0
2003,NH,7089.0
2004,NH,7305.0
2005,NH,7552.0
2006,NH,7651.0
2007,NH,7803.0
2008,NH,8071.0
2009,NH,8047.0
2010,NH,8126.0
2011,NH,8436.0
2012,NH,8242.0
2013,NH,8551.0
2014,NH,8508.0
2015,NH,8618.0
2016,NH,9022.0
2017,NH,9119.0
1999,NJ,46958.0
2000,NJ,48073.0
2001,NJ,50441.0
2002,NJ,50142.0
2003,NJ,48470.0
2004,NJ,48834.0
2005,NJ,49127.0
2006,NJ,50894.0
2007,NJ,51547.0
2008,NJ,51664.0
2009,NJ,52294.0
2010,NJ,51929.0
2011,NJ,52985.0
2012,NJ,52441.0
2013,NJ,53664.0
2014,NJ,53472.0
2015,NJ,54963.0
2016,NJ,55405.0
2017,NJ,56547.0
1999,NM,7529.0
2000,NM,7496.0
2001,NM,7866.0
2002,NM,8127.0
2003,NM,8095.0
2004,NM,8544.0
2005,NM,8544.0
2006,NM,8747.0
2007,NM,9096.0
2008,NM,9313.0
2009,NM,9412.0
2010,NM,9381.0
2011,NM,9270.0
2012,NM,9270.0
2013,NM,9460.0
2014,NM,9684.0
2015,NM,9977.0
2016,NM,10079.0
2017,NM,10173.0
1999,NY,97845.0
2000,NY,101083.0
2001,NY,102071.0
2002,NY,103071.0
2003,NY,103375.0
2004,NY,104422.0
2005,NY,106087.0
2006,NY,109343.0
2007,NY,111512.0
2008,NY,113673.0
2009,NY,114557.0
2010,NY,112266.0
2011,NY,116621.0
2012,NY,113592.0
2013,NY,117618.0
2014,NY,117472.0
2015,NY,119048.0
2016,NY,120129.0
2017,NY,122822.0
1999,NC,35663.0
2000,NC,37690.0
2001,NC,38751.0
2002,NC,39340.0
2003,NC,40340.0
2004,NC,43139.0
2005,NC,45522.0
2006,NC,47000.0
2007,NC,49033.0
2008,NC,50148.0
2009,NC,52317.0
2010,NC,52307.0
2011,NC,53537.0
2012,NC,53090.0
2013,NC,55168.0
2014,NC,56715.0
2015,NC,58873.0
2016,NC,59555.0
2017,NC,61326.0
1999,ND,3279.0
2000,ND,3272.0
2001,ND,3334.0
2002,ND,3381.0
2003,ND,3371.0
2004,ND,3436.0
2005,ND,3568.0
2006,ND,3591.0
2007,ND,3711.0
2008,ND,3650.0
2009,ND,3616.0
2010,ND,3747.0
2011,ND,3881.0
2012,ND,3903.0
2013,ND,3767.0
2014,ND,3852.0
2015,ND,3965.0
2016,ND,3979.0
2017,ND,4103.0
1999,OH,58836.0
2000,OH,57592.0
2001,OH,59516.0
2002,OH,59999.0
2003,OH,59036.0
2004,OH,60784.0
2005,OH,62030.0
2006,OH,62787.0
2007,OH,63688.0
2008,OH,65407.0
2009,OH,66132.0
2010,OH,64065.0
2011,OH,65897.0
2012,OH,64679.0
2013,OH,66573.0
2014,OH,67936.0
2015,OH,70371.0
2016,OH,70211.0
2017,OH,71844.0
1999,OK,16515.0
2000,OK,16793.0
2001,OK,17284.0
2002,OK,17821.0
2003,OK,18476.0
2004,OK,18328.0
2005,OK,18388.0
2006,OK,19497.0
2007,OK,20305.0
2008,OK,19505.0
2009,OK,19596.0
2010,OK,19299.0
2011,OK,19581.0
2012,OK,19778.0
2013,OK,20028.0
2014,OK,20610.0
2015,OK,21228.0
2016,OK,21037.0
2017,OK,20892.0
1999,OR,18179.0
2000,OR,17995.0
2001,OR,18486.0
2002,OR,18450.0
2003,OR,18145.0
2004,OR,19058.0
2005,OR,19314.0
2006,OR,19861.0
2007,OR,20105.0
2008,OR,21175.0
2009,OR,20698.0
2010,OR,20529.0
2011,OR,21505.0
2012,OR,21131.0
2013,OR,22047.0
2014,OR,22325.0
2015,OR,22788.0
2016,OR,22745.0
2017,OR,23645.0
1999,PA,73148.0
2000,PA,73594.0
2001,PA,76923.0
2002,PA,76504.0
2003,PA,75420.0
2004,PA,75606.0
2005,PA,76431.0
2006,PA,78574.0
2007,PA,80090.0
2008,PA,80599.0
2009,PA,81057.0
2010,PA,81546.0
2011,PA,83159.0
2012,PA,80810.0
2013,PA,82497.0
2014,PA,82029.0
2015,PA,83575.0
2016,PA,84040.0
2017,PA,84032.0
1999,RI,6330.0
2000,RI,6377.0
2001,RI,6375.0
2002,RI,6442.0
2003,RI,6218.0
2004,RI,6566.0
2005,RI,6276.0
2006,RI,6580.0
2007,RI,6669.0
2008,RI,6626.0
2009,RI,6616.0
2010,RI,6335.0
2011,RI,6454.0
2012,RI,6656.0
2013,RI,6636.0
2014,RI,6711.0
2015,RI,6596.0
2016,RI,6614.0
2017,RI,6721.0
1999,SC,19380.0
2000,SC,19575.0
2001,SC,20400.0
2002,SC,21605.0
2003,SC,21319.0
2004,SC,21822.0
2005,SC,22703.0
2006,SC,23317.0
2007,SC,24354.0
2008,SC,24494.0
2009,SC,24979.0
2010,SC,25783.0
2011,SC,26083.0
2012,SC,26895.0
2013,SC,27147.0
2014,SC,27813.0
2015,SC,29305.0
2016,SC,29284.0
2017,SC,29530.0
2001,SD,4047.0
2002,SD,4440.0
2003,SD,4140.0
2004,SD,4159.0
2005,SD,4064.0
2006,SD,4013.0
2007,SD,4347.0
2008,SD,4296.0
2009,SD,4456.0
2010,SD,4430.0
2011,SD,4724.0
2012,SD,4543.0
2013,SD,4787.0
2014,SD,4808.0
2015,SD,4710.0
2016,SD,4937.0
2017,SD,5022.0
1999,TN,22778.0
2000,TN,23846.0
2001,TN,24217.0
2002,TN,25106.0
2003,TN,26849.0
2004,TN,28597.0
2005,TN,31224.0
2006,TN,32064.0
2007,TN,33248.0
2008,TN,34182.0
2009,TN,35343.0
2010,TN,35276.0
2011,TN,35825.0
2012,TN,36115.0
2013,TN,36369.0
2014,TN,36530.0
2015,TN,38441.0
2016,TN,38893.0
2017,TN,40423.0
1999,TX,83099.0
2000,TX,85648.0
2001,TX,90182.0
2002,TX,91465.0
2003,TX,92572.0
2004,TX,93419.0
2005,TX,95527.0
2006,TX,97481.0
2007,TX,102408.0
2008,TX,103731.0
2009,TX,105675.0
2010,TX,104555.0
2011,TX,105781.0
2012,TX,107945.0
2013,TX,110389.0
2014,TX,113334.0
2015,TX,116821.0
2016,TX,119309.0
2017,TX,123742.0
1999,UT,6828.0
2000,UT,6781.0
2001,UT,7250.0
2002,UT,7400.0
2003,UT,7731.0
2004,UT,8025.0
2005,UT,8174.0
2006,UT,8596.0
2007,UT,8802.0
2008,UT,9175.0
2009,UT,9443.0
2010,UT,9836.0
2011,UT,10092.0
2012,UT,10109.0
2013,UT,10166.0
2014,UT,10550.0
2015,UT,10936.0
2016,UT,11077.0
2017,UT,11526.0
1999,VT,3321.0
2000,VT,3232.0
2001,VT,3335.0
2002,VT,3346.0
2003,VT,3485.0
2004,VT,3508.0
2005,VT,3591.0
2006,VT,3874.0
2007,VT,3799.0
2008,VT,3722.0
2009,VT,3905.0
2010,VT,3847.0
2011,VT,3820.0
